timestamp,TEMPERATURE,VCCINT,VCCAUX,VCCBRAM,VPVN
2026-05-22 16:40:59,46.3,1.000,1.795,1.000,
2026-05-22 17:12:25,46.3,1.000,1.796,1.001,
2026-05-22 17:14:43,46.4,1.000,1.796,1.000,
2026-05-22 17:46:30,46.1,1.000,1.797,1.000,
2026-05-22 17:49:07,46.3,1.000,1.796,1.000,
2026-05-22 19:02:31,46.5,1.000,1.796,1.000,
2026-05-22 19:34:53,46.5,1.000,1.796,1.000,
2026-05-22 19:37:40,46.1,1.000,1.796,1.000,
2026-05-22 20:09:14,46.4,1.000,1.797,1.000,
2026-05-22 20:11:41,46.3,1.000,1.797,1.000,
2026-05-22 20:43:11,46.3,1.000,1.796,1.000,
2026-05-22 20:45:03,46.3,1.000,1.796,1.000,
2026-05-22 21:16:35,46.1,1.000,1.796,1.000,
2026-05-22 21:18:32,45.9,1.000,1.796,1.000,
2026-05-22 21:49:57,45.8,1.000,1.796,1.000,
2026-05-22 21:51:51,45.9,1.000,1.795,1.000,
2026-05-22 22:23:23,46.0,1.000,1.796,1.000,
2026-05-23 00:21:49,46.0,0.999,1.795,1.000,
2026-05-23 00:27:11,46.4,1.000,1.796,1.000,
2026-05-23 00:30:42,46.3,1.000,1.796,1.000,
2026-05-23 00:35:31,46.3,1.000,1.795,1.000,
2026-05-23 00:38:09,46.3,1.000,1.796,1.000,
2026-05-23 00:42:45,46.4,1.000,1.795,1.000,
2026-05-23 00:45:17,46.4,1.000,1.796,1.000,
2026-05-23 00:49:31,46.4,1.000,1.795,1.000,
2026-05-23 00:51:46,46.5,1.000,1.796,1.000,
2026-05-23 00:55:58,46.3,1.000,1.795,1.000,
2026-05-23 00:58:07,46.1,1.000,1.796,1.000,
2026-05-23 01:02:26,46.3,1.000,1.797,1.000,
2026-05-23 22:46:35,46.9,1.000,1.796,1.000,
2026-05-23 22:49:16,47.2,1.000,1.797,1.000,
2026-05-23 23:05:05,47.2,1.000,1.796,1.000,
2026-05-23 23:08:40,47.1,1.000,1.796,1.000,
2026-05-23 23:22:22,46.6,1.000,1.795,1.000,
2026-05-23 23:36:10,47.1,1.000,1.796,1.000,
2026-05-24 12:39:35,47.1,1.000,1.797,1.000,
2026-05-24 12:48:20,47.1,1.000,1.797,1.000,
2026-05-24 12:51:12,47.4,1.000,1.797,1.000,
2026-05-24 13:22:52,47.4,1.000,1.797,1.001,
2026-05-24 13:39:37,47.4,1.000,1.796,1.000,
2026-05-24 13:42:41,47.4,1.000,1.797,1.000,
2026-05-24 13:45:34,47.5,1.000,1.797,1.000,
2026-05-24 13:48:35,47.4,1.000,1.796,1.000,
2026-05-24 13:53:10,47.4,1.000,1.796,1.000,
2026-05-24 13:57:00,47.6,1.000,1.797,1.001,
2026-05-24 14:01:34,47.6,1.000,1.797,1.000,
2026-05-24 14:05:40,47.6,1.001,1.797,1.001,
2026-05-24 14:10:42,47.6,1.000,1.797,1.000,
2026-05-24 14:14:43,47.4,1.000,1.797,1.000,
2026-05-24 14:18:49,47.4,1.000,1.796,1.000,
2026-05-24 14:22:35,46.9,1.000,1.796,1.000,
2026-05-24 14:54:57,47.5,1.000,1.797,1.001,
2026-05-24 14:58:50,47.2,1.000,1.797,1.001,
2026-05-24 15:03:21,47.2,1.001,1.797,1.001,
2026-05-24 15:06:28,47.4,1.001,1.797,1.001,
2026-05-24 15:10:12,47.5,1.000,1.796,1.000,
2026-05-24 15:13:16,47.5,1.000,1.797,1.000,
2026-05-24 15:23:56,47.4,1.000,1.796,1.001,
2026-05-24 15:27:01,47.5,1.000,1.796,1.000,
2026-05-24 15:30:44,47.5,1.001,1.797,1.000,
2026-05-24 15:33:53,47.4,1.000,1.795,1.000,
2026-05-24 15:37:51,47.7,1.000,1.797,1.001,
2026-05-24 15:41:00,47.5,1.000,1.796,1.000,
2026-05-24 15:51:03,47.2,1.000,1.795,1.000,
2026-05-24 15:54:29,47.5,1.000,1.797,1.000,
